"","CrimeDate","CrimeTime","CrimeCode","Location","Description","Weapon","Post","District","Neighborhood","Location.1","Total.Incidents"
"667","06/26/2012",2200,"1F","4600 NORFOLK AV","HOMICIDE","FIREARM",622,"NORTHWESTERN","West Forest Park","(39.32125, -76.69442)",1
"668","06/24/2012",1950,"1F","1000 N CENTRAL AV","HOMICIDE","FIREARM",322,"EASTERN","Johnston Square","(39.3021, -76.60038)",1
"669","06/20/2012",200,"1F","4000 BOARMAN AV","HOMICIDE","FIREARM",624,"NORTHWESTERN","Dorchester","(39.33423, -76.68445)",1
"670","06/19/2012",2210,"1F","2100 W PRATT ST","HOMICIDE","FIREARM",835,"SOUTHWESTERN","Carrollton Ridge","(39.28504, -76.65)",1
"671","06/14/2012",1011,"1O","800 N STRICKER ST","HOMICIDE","OTHER",715,"WESTERN","Harlem Park","(39.29838, -76.64154)",1
"672","06/11/2012",1226,"1F","2600 W PATAPSCO AV","HOMICIDE","FIREARM",923,"SOUTHERN","Lakeland","(39.25353, -76.6542)",1
"673","06/08/2012",2338,"1F","400 E 21ST ST","HOMICIDE","FIREARM",314,"EASTERN","Barclay","(39.31349, -76.6109)",1
"674","06/05/2012",22,"1F","4400 PALL MALL RD","HOMICIDE","FIREARM",531,"NORTHERN","Greenspring","(39.33985, -76.66293)",1
"675","06/05/2012",22,"1F","4400 PALL MALL RD","HOMICIDE","FIREARM",531,"NORTHERN","Greenspring","(39.33985, -76.66293)",1
"676","06/05/2012",27,"1F","3600 BEEHLER AV","HOMICIDE","FIREARM",613,"NORTHWESTERN","Central Park Heights","(39.34316, -76.67486)",1
"677","06/04/2012",1035,"1F","5500 BELAIR RD","HOMICIDE","FIREARM",427,"NORTHEASTERN","Waltherson","(39.34035, -76.54847)",1
"678","06/04/2012",2125,"1F","3400 E LOMBARD ST","HOMICIDE","FIREARM",224,"SOUTHEASTERN","Baltimore Highlands","(39.29136, -76.56916)",1
"679","06/03/2012",322,"1F","4600 PIMLICO RD","HOMICIDE","FIREARM",615,"NORTHWESTERN","Central Park Heights","(39.34334, -76.66741)",1
"680","06/02/2012",215,"1F","1400 E FAYETTE ST","HOMICIDE","FIREARM",212,"SOUTHEASTERN","Dunbar-Broadway","(39.29298, -76.59834)",1
"681","06/02/2012",2302,"1K","1200 E LAFAYETTE AV","HOMICIDE","KNIFE",313,"EASTERN","Oliver","(39.31038, -76.60246)",1
"682","05/31/2012",2109,"1K","3000 E PRESTON ST","HOMICIDE","KNIFE",334,"EASTERN","Berea","(39.30613, -76.57562)",1
"683","05/29/2012",1239,"1F","1100 MYRTLE AV","HOMICIDE","FIREARM",122,"CENTRAL","Upton","(39.29729, -76.63053)",1
"684","05/28/2012",1730,"1O","1600 E COLD SPRING LA","HOMICIDE","OTHER",426,"NORTHEASTERN","Hillen","(39.34581, -76.58757)",1
"685","05/28/2012",2204,"1K","1200 WOODBOURNE AV","HOMICIDE","KNIFE",523,"NORTHERN","New Northwood","(39.35398, -76.59721)",1
"686","05/28/2012",2302,"1O","3100 HAMILTON AV","HOMICIDE","OTHER",427,"NORTHEASTERN","Glenham-Belhar","(39.35071, -76.55982)",1
"687","05/27/2012",1804,"1F","2500 W FAYETTE ST","HOMICIDE","FIREARM",816,"SOUTHWESTERN","Shipley Hill","(39.28895, -76.65692)",1
"688","05/26/2012",127,"1F","2500 N EDGECOMBE CIR","HOMICIDE","FIREARM",534,"NORTHERN","Parklane","(39.34174, -76.66015)",1
"689","05/26/2012",130,"1F","600 PITCHER ST","HOMICIDE","FIREARM",132,"CENTRAL","Upton","(39.30281, -76.63455)",1
"690","05/24/2012",1834,"1F","4600 KERNYORK LA","HOMICIDE","FIREARM",526,"NORTHERN","Kernewood","(39.34517, -76.61012)",1
"691","05/24/2012",2000,"1F","2600 E PRESTON ST","HOMICIDE","FIREARM",333,"EASTERN","Berea","(39.30592, -76.58084)",1
"692","05/23/2012",2055,"1F","3300 WESTERWALD AV","HOMICIDE","FIREARM",525,"NORTHERN","Waverly","(39.32927, -76.60507)",1
"693","05/22/2012",16,"1F","600 N CAREY ST","HOMICIDE","FIREARM",713,"WESTERN","Harlem Park","(39.29639, -76.63859)",1
"694","05/18/2012",2340,"1K","1400 LIMIT AV","HOMICIDE","KNIFE",423,"NORTHEASTERN","Idlewood","(39.37122, -76.58449)",1
"695","05/18/2012",2345,"1F","2600 MATHEWS ST","HOMICIDE","FIREARM",513,"NORTHERN","Better Waverly","(39.31986, -76.60789)",1
"696","05/16/2012",1653,"1F","2000 FREDERICK AV","HOMICIDE","FIREARM",836,"SOUTHWESTERN","Boyd-Booth","(39.28625, -76.64861)",1
"697","05/14/2012",2326,"1F","1100 N MILTON AV","HOMICIDE","FIREARM",333,"EASTERN","Biddle Street","(39.30406, -76.58266)",1
"698","05/13/2012",1640,"1F","4000 W FRANKLIN ST","HOMICIDE","FIREARM",822,"SOUTHWESTERN","Allendale","(39.29247, -76.68302)",1
"699","05/13/2012",2111,"1F","1600 GOUGH ST","HOMICIDE","FIREARM",212,"SOUTHEASTERN","Fells Point","(39.2876, -76.59457)",1
"700","05/13/2012",2217,"1F","1600 E 32ND ST","HOMICIDE","FIREARM",414,"NORTHEASTERN","Coldstream Homestead Montebello","(39.32682, -76.59302)",1
"701","05/09/2012",1053,"1O","300 WHITRIDGE AV","HOMICIDE","OTHER",512,"NORTHERN","Harwood","(39.32151, -76.61182)",1
"702","05/08/2012",247,"1F","600 N EUTAW ST","HOMICIDE","FIREARM",123,"CENTRAL","Seton Hill","(39.29591, -76.62137)",1
"703","05/08/2012",1303,"1F","1100 E 20TH ST","HOMICIDE","FIREARM",311,"EASTERN","East Baltimore Midway","(39.31279, -76.60418)",1
"704","05/08/2012",2118,"1F","3400 PIEDMONT AV","HOMICIDE","FIREARM",621,"NORTHWESTERN","Hanlon-Longwood","(39.3163, -76.6748)",1
"705","05/06/2012",1510,"1F","3000 OAKLEY AV","HOMICIDE","FIREARM",615,"NORTHWESTERN","Central Park Heights","(39.34796, -76.67016)",1
"706","05/04/2012",2350,"1F","4000 ALTO RD","HOMICIDE","FIREARM",622,"NORTHWESTERN","Windsor Hills","(39.31691, -76.6829)",1
"707","05/03/2012",1724,"1O","400 CUMMINGS CT","HOMICIDE","OTHER",123,"CENTRAL","Upton","(39.30098, -76.62532)",1
"708","04/28/2012",1500,"1F","3400 RAVENWOOD AV","HOMICIDE","FIREARM",413,"NORTHEASTERN","Four By Four","(39.31531, -76.5752)",1
